VehicleID,Amount (Million Naira)
VHL18518,5.620023939559844
VHL17149,7.020744685199184
VHL10927,4.475257935465539
VHL12909,5.994786180622663
VHL12348,8.535406453692993
VHL10798,26.90841653002076
VHL11022,4.475257935465539
VHL12206,7.06023889506501
VHL11697,15.856418985836267
VHL12313,7.020744685199184
VHL13411,25.27091873912514
VHL14334,3.3873790693135803
VHL14302,7.020744685199184
VHL13979,4.475257935465539
VHL12272,2.690084727702714
VHL15071,9.835255741247733
VHL19166,4.475257935465539
VHL10471,4.475257935465539
VHL18431,4.144390854787925
VHL12325,7.112598549161165
VHL15657,4.475257935465539
VHL13667,20.39955495780738
VHL18913,14.661052160426433
VHL13273,14.142839249985313
VHL16576,2.5258855652569743
VHL15506,5.694614496787983
VHL10460,46.65382752610147
VHL16050,5.943302313681678
VHL17918,6.924220588338215
VHL12992,6.026870033170456
VHL10261,6.5296124716860175
VHL18348,8.781164164535065
VHL11577,7.7489690330084615
VHL16957,2.856752645934588
VHL16165,18.559067629108117
VHL11441,4.475257935465539
VHL19990,3.3873790693135803
VHL14072,5.005884358844531
VHL13637,2.856752645934588
VHL10757,10.011844169474248
VHL12657,7.365720417917847
VHL19939,12.038647647684996
VHL12094,9.224136591636439
VHL17177,4.376280891091714
VHL16720,12.038647647684996
VHL11478,30.57307254234188
VHL14386,9.224136591636439
VHL11341,16.752522509304825
VHL18683,10.819291086362552
VHL13430,9.680172457787293
VHL18932,2.856752645934588
VHL17505,6.5574964565494485
VHL16272,5.005884358844531
VHL14777,4.475257935465539
VHL13186,7.555570976262539
VHL19383,2.690084727702714
VHL14605,9.680172457787293
VHL11440,23.514674594542516
VHL14303,10.755274103805936
VHL19478,5.694614496787983
VHL17837,4.475257935465539
VHL12824,5.943302313681678
VHL17476,5.005884358844531
VHL18988,2.856752645934588
VHL19482,6.026870033170456
VHL13263,4.308590017233665
VHL17078,6.2589347291631
VHL19170,4.475257935465539
VHL18070,4.475257935465539
VHL18061,18.559067629108117
VHL10726,2.856752645934588
VHL19212,3.2273829736225403
VHL13283,3.3873790693135803
VHL14023,9.535917542483492
VHL16973,30.042446118962886
VHL19653,16.097993842236736
VHL18605,10.755274103805936
VHL13287,8.535406453692993
VHL15719,3.3873790693135803
VHL19636,6.5296124716860175
VHL11009,8.205004899159311
VHL18087,4.642826720239766
VHL14422,6.5296124716860175
VHL15789,19.576814737404746
VHL12369,5.86218328156221
VHL15812,4.408364743639507
VHL18767,195.70246493237497
VHL19271,26.976341069059995
VHL17403,4.475257935465539
VHL12967,4.642826720239766
VHL19998,7.555570976262539
VHL12336,5.943302313681678
VHL10328,3.3873790693135803
VHL18908,4.475257935465539
VHL11127,9.086708488432029
VHL12655,19.868928534428385
VHL19086,81.0645701938032
VHL10384,20.46285146444806
VHL15712,13.584145591642672
VHL11054,25.726902812577688
VHL16505,9.481217746095256
